iter	MAP:top=7
0	0.09530583788
1	0.1094192338
2	0.1119342786
3	0.1113844456
4	0.1125055678
5	0.1121946851
6	0.1123136628
7	0.1147852495
8	0.116709804
9	0.1169081193
10	0.1173491242
11	0.1191729447
12	0.1197154163
13	0.1200881268
14	0.120395455
15	0.1208575243
16	0.1208087492
17	0.121680341
18	0.1219085861
19	0.1221366328
20	0.1223652836
21	0.122211129
22	0.1226646999
23	0.1231198646
24	0.1230752146
25	0.1232332383
26	0.1234657283
27	0.1237386746
28	0.1239820169
29	0.1239458054
30	0.1240705769
31	0.12417355
32	0.1250223113
33	0.1251530512
34	0.1252936001
35	0.1255301302
36	0.1258530885
37	0.1262763764
38	0.1267218995
39	0.1267944274
40	0.1269966593
41	0.1270800371
42	0.127076586
43	0.1276433334
44	0.128339871
45	0.1283190998
46	0.1287370571
47	0.128804112
48	0.1289832288
49	0.1291449807
50	0.1290298734
51	0.1293540585
52	0.1292994872
53	0.1297320649
54	0.1299728997
55	0.1301077547
56	0.1302056081
57	0.1304614315
58	0.1306462622
59	0.1308750316
60	0.1311808844
61	0.131508452
62	0.1316668751
63	0.1317519715
64	0.1319569119
65	0.1320746315
66	0.1322773277
67	0.1322303587
68	0.1321499676
69	0.132390448
70	0.1328087909
71	0.1327162133
72	0.1329699299
73	0.1332384804
74	0.1333419241
75	0.1332916925
76	0.1332509291
77	0.1336514314
78	0.1336566735
79	0.133906677
80	0.1340242431
81	0.1341349758
82	0.1343382561
83	0.1342032451
84	0.1343203182
85	0.1345083803
86	0.1346188983
87	0.1349610439
88	0.1350443929
89	0.1351239128
90	0.135278614
91	0.1353761392
92	0.1354679879
93	0.1354734172
94	0.1356836208
95	0.1357710637
96	0.1358098551
97	0.1359139977
98	0.1359159697
99	0.1359898269
100	0.136116317
101	0.1363298818
102	0.1363527223
103	0.1365201356
104	0.1366402291
105	0.1366941976
106	0.1367257749
107	0.1367217035
108	0.1368105443
109	0.1368753588
110	0.1370974982
111	0.1373272385
112	0.1373219715
113	0.1374009771
114	0.1374739668
115	0.137615503
116	0.1374584029
117	0.1375171204
118	0.1375673295
119	0.1377789098
120	0.1379173007
121	0.1379535459
122	0.1379923373
123	0.1381011105
124	0.1382399257
125	0.1382637485
126	0.1383554886
127	0.1385496128
128	0.1386107304
129	0.1385658732
130	0.1385975878
131	0.1386155307
132	0.1386584096
133	0.1387403858
134	0.1386816745
135	0.1387456029
136	0.1388205646
137	0.1389624153
138	0.1390689855
139	0.1392134422
140	0.1393060361
141	0.1392841791
142	0.1393439388
143	0.1394223603
144	0.139463608
145	0.1396613929
146	0.1396378035
147	0.1396699924
148	0.139792033
149	0.1399294553
150	0.1400181338
151	0.1400232586
152	0.1401230328
153	0.1400943886
154	0.1401251858
155	0.1404376936
156	0.1406994419
157	0.140904859
158	0.1408676927
159	0.1408729048
160	0.1409317659
161	0.1410047805
162	0.1410532298
163	0.1411334524
164	0.1411889273
165	0.1411176724
166	0.1412580903
167	0.1417319206
168	0.1418008165
169	0.1417810626
170	0.1418581361
171	0.1419245358
172	0.1420819891
173	0.1421400813
174	0.1420889186
175	0.142290564
176	0.1422442527
177	0.1423710236
178	0.142481981
179	0.1424809014
180	0.1426107239
181	0.1428150028
182	0.1428480466
183	0.142922066
184	0.1429545669
185	0.1429759721
186	0.1431436063
187	0.1434095919
188	0.1434264664
189	0.1435756035
190	0.1436271381
191	0.1435835041
192	0.1439030213
193	0.1439040447
194	0.143983617
195	0.1439818946
196	0.1439736196
197	0.144000504
198	0.1439963103
199	0.1443245893
200	0.1442708954
201	0.1444862138
202	0.1444301111
203	0.1443745575
204	0.1446318313
205	0.1447100082
206	0.1448198173
207	0.1448542028
208	0.1450034373
209	0.1450258909
210	0.1449740043
211	0.1451146667
212	0.1453134289
213	0.1455042406
214	0.1454966521
215	0.1455803756
216	0.1455591451
217	0.1456190172
218	0.1456353425
219	0.1456601425
220	0.1457581469
221	0.1459406487
222	0.1459287292
223	0.1459415848
224	0.146035755
225	0.1460488602
226	0.1460384883
227	0.1461207515
228	0.1461544107
229	0.146151877
230	0.1462153661
231	0.1462476049
232	0.1464053565
233	0.1464159904
234	0.1463983296
235	0.1464665266
236	0.1466150522
237	0.1466809526
238	0.1467433333
239	0.1467167485
240	0.1467371926
241	0.1469549136
242	0.1469899419
243	0.1470093002
244	0.1470462506
245	0.1469471753
246	0.1470813725
247	0.1471017979
248	0.147244712
249	0.147482328
250	0.1473903295
251	0.1474602189
252	0.1474152243
253	0.1474753585
254	0.1474924826
255	0.1475705085
256	0.1476216362
257	0.1478669281
258	0.1478379094
259	0.1477661678
260	0.1478857396
261	0.1479599525
262	0.1481383305
263	0.1482782316
264	0.1484699294
265	0.1484857156
266	0.1484857156
267	0.1485155954
268	0.1485564088
269	0.1486592034
270	0.1487705227
271	0.1487836279
272	0.148808056
273	0.1488728082
274	0.1489095027
275	0.1489948363
276	0.149052639
277	0.149028438
278	0.1493627604
279	0.1493338915
280	0.1494841145
281	0.1495490976
282	0.1498208494
283	0.1500245042
284	0.1499962344
285	0.1501273638
286	0.1501856819
287	0.1502071308
288	0.1502255679
289	0.1502447889
290	0.1503524762
291	0.1504805926
292	0.1504643421
293	0.1504830077
294	0.1505715239
295	0.150567188
296	0.1506005875
297	0.1506236527
298	0.1506610961
299	0.1506157122
300	0.1506613931
301	0.1507144879
302	0.1506987804
303	0.150829901
304	0.1508103556
305	0.1509080392
306	0.1509394917
307	0.1510801105
308	0.1511571004
309	0.1512461908
310	0.1513650986
311	0.1514166956
312	0.1514720744
313	0.1515037017
314	0.1514924636
315	0.151508774
316	0.1517666843
317	0.151798998
318	0.1518342098
319	0.1518417584
320	0.1518837699
321	0.1519672812
322	0.1520180919
323	0.1520805251
324	0.1521042243
325	0.1521668846
326	0.1521664727
327	0.1521797526
328	0.1522178451
329	0.1522946977
330	0.1523148772
331	0.1523231335
332	0.1523245189
333	0.1523526514
334	0.1524692465
335	0.1524956066
336	0.1525803536
337	0.1525857904
338	0.1526155953
339	0.1527499798
340	0.152861711
341	0.1530011503
342	0.1530606479
343	0.1531031162
344	0.1530925072
345	0.1532056612
346	0.1531766051
347	0.1532465869
348	0.1535281577
349	0.1535499123
350	0.153587543
351	0.1536466849
352	0.153657169
353	0.1536895501
354	0.1537430193
355	0.1537810768
356	0.1537828067
357	0.1538076816
358	0.1537961228
359	0.15380129
360	0.1537700372
361	0.1538280321
362	0.1538062899
363	0.1538398567
364	0.1538453609
365	0.1538647566
366	0.1539609837
367	0.1539736833
368	0.1540067084
369	0.1540366032
370	0.1541038591
371	0.1541466694
372	0.1541980904
373	0.1542983015
